filename,lap_var,fft_hf_ratio,noise_est,local_var
000000.npy,0.00205272,0.999940,0.00472212,0.06433123
000001.npy,0.00115994,0.999972,0.00538274,0.06253130
000002.npy,0.00122757,0.999966,0.00560539,0.06077427
000003.npy,0.00117577,0.999965,0.00556423,0.05888434
000004.npy,0.08230571,0.998295,0.03122783,0.11908998
000006.npy,0.01266264,0.999533,0.01355710,0.04711702
000007.npy,0.01312255,0.999519,0.01412597,0.04693340
000008.npy,0.05373072,0.999606,0.01771018,0.13894580
000009.npy,0.03861348,0.999673,0.00993449,0.10424378
000010.npy,0.02969928,0.999722,0.00888979,0.09169176
000011.npy,0.04039267,0.999658,0.01013184,0.10758206
000012.npy,0.00522291,0.999759,0.01218988,0.04339151
000014.npy,0.02917316,0.999829,0.00267543,0.04688437
000015.npy,0.04216488,0.999729,0.00294020,0.06249411
000016.npy,0.00689248,0.999972,0.00852997,0.07815370
000017.npy,0.02552105,0.999789,0.02091000,0.17917661
000018.npy,0.02489024,0.999786,0.02116393,0.17557891
000019.npy,0.02560279,0.999788,0.02082019,0.17832336
000020.npy,0.00109012,0.999990,0.00498614,0.05326317
000021.npy,0.00345177,0.999965,0.00535945,0.04453839
000022.npy,0.00352406,0.999962,0.00551826,0.04236095
000023.npy,0.00349283,0.999963,0.00545931,0.04216368
000024.npy,0.11606417,0.997221,0.05471077,0.13693789
000025.npy,0.06120016,0.997117,0.02689919,0.10954838
000026.npy,0.05996313,0.997125,0.02656891,0.10805404
000027.npy,0.05974191,0.997127,0.02649474,0.10786179
000028.npy,0.00610300,0.999955,0.01076074,0.06357607
000029.npy,0.01669736,0.999812,0.01290074,0.11914188
000030.npy,0.01775930,0.999799,0.01253733,0.10873660
000031.npy,0.01669996,0.999812,0.01292899,0.11917711
000032.npy,0.00585884,0.999977,0.00405743,0.04140698
000033.npy,0.03019980,0.999911,0.01140201,0.13470559
000034.npy,0.02786093,0.999922,0.01217665,0.11700094
000035.npy,0.03062525,0.999912,0.01135301,0.13000016
000036.npy,0.01072374,0.999749,0.01409057,0.03899821
000038.npy,0.01119766,0.999850,0.01721659,0.06914792
000039.npy,0.01169185,0.999850,0.01746235,0.07217519
000040.npy,0.01489526,0.999910,0.00776694,0.10969936
000043.npy,0.02193999,0.999862,0.01308863,0.15720466
000044.npy,0.11445495,0.999193,0.03317529,0.17890300
000045.npy,0.01870303,0.999920,0.01544484,0.12134595
000046.npy,0.02028481,0.999921,0.01580729,0.13202013
000047.npy,0.02087799,0.999904,0.01742726,0.12496350
000048.npy,0.00858929,0.999591,0.00563569,0.03105465
000050.npy,0.34691072,0.987081,0.12475642,0.13588655
000051.npy,0.35282248,0.986891,0.12593735,0.13657083
000053.npy,0.02390127,0.999566,0.01957316,0.11384819
000055.npy,0.01566649,0.999606,0.01476238,0.10269736
000056.npy,0.01237482,0.999851,0.00646917,0.13673253
000057.npy,0.00787378,0.999780,0.01893935,0.04517671
000060.npy,0.00805286,0.999957,0.01108965,0.08392587
000061.npy,0.00423519,0.999895,0.01107859,0.04952037
000062.npy,0.00442184,0.999886,0.01141083,0.04985403
000064.npy,0.00706264,0.999976,0.00474386,0.07245806
000066.npy,0.00844754,0.999906,0.00887459,0.07415852
000067.npy,0.01379954,0.999891,0.01107876,0.09153484
000068.npy,0.00680338,0.999989,0.00615914,0.07940940
000069.npy,0.00251501,0.999945,0.00325939,0.07112414
000070.npy,0.00274494,0.999946,0.00332626,0.07448619
000071.npy,0.00250189,0.999946,0.00324179,0.07101970
000072.npy,0.02020850,0.999796,0.01440192,0.12445793
000073.npy,0.01789590,0.999927,0.01654009,0.11692522
000074.npy,0.01923118,0.999922,0.01699064,0.12526377
000075.npy,0.01912304,0.999922,0.01685316,0.12373133
000077.npy,0.00481003,0.999054,0.01493808,0.04222173
000078.npy,0.01264218,0.998437,0.02460035,0.05511571
000079.npy,0.00493360,0.998917,0.01532239,0.03894336
000080.npy,0.02792107,0.999784,0.00421379,0.07003785
000082.npy,0.02458373,0.999131,0.01009430,0.07973997
000083.npy,0.02437953,0.999085,0.01006021,0.07701176
000084.npy,0.05710111,0.998509,0.02076017,0.10668289
000086.npy,0.12781202,0.998847,0.03086260,0.18567714
000087.npy,0.11178191,0.999069,0.02304045,0.17573579
000088.npy,0.00030721,0.999995,0.00344746,0.02979621
000090.npy,0.00184447,0.999968,0.00714050,0.09214448
000091.npy,0.00181845,0.999968,0.00732330,0.09042636
000092.npy,0.01671567,0.999565,0.02064864,0.08920825
